hour,time,alive_percent,q_t,resilience
366,2025-01-16 05:00,60.6481,0.606481,0.826108
367,2025-01-16 06:00,60.6481,0.606481,0.825509
368,2025-01-16 07:00,100.0,0.670285,0.825088
369,2025-01-16 08:00,100.0,0.92288,0.825353
370,2025-01-16 09:00,100.0,0.981954,0.825776
371,2025-01-16 10:00,100.0,0.999388,0.826244
372,2025-01-16 11:00,100.0,1.0,0.826711
373,2025-01-16 12:00,100.0,1.0,0.827176
374,2025-01-16 13:00,100.0,1.0,0.827638
375,2025-01-16 14:00,100.0,1.0,0.828097
376,2025-01-16 15:00,100.0,1.0,0.828554
377,2025-01-16 16:00,100.0,1.0,0.829009
378,2025-01-16 17:00,100.0,0.999965,0.829462
379,2025-01-16 18:00,99.9228,0.990922,0.829888
380,2025-01-16 19:00,98.3025,0.967809,0.83025
381,2025-01-16 20:00,96.4506,0.961947,0.830596
382,2025-01-16 21:00,94.8302,0.910713,0.830806
383,2025-01-16 22:00,88.7346,0.886107,0.83095
384,2025-01-16 23:00,88.5031,0.880247,0.831079
385,2025-01-17 00:00,87.963,0.87767,0.8312
386,2025-01-17 01:00,87.5,0.871238,0.831303
387,2025-01-17 02:00,86.8827,0.862583,0.831384
388,2025-01-17 03:00,85.7253,0.850437,0.831433
389,2025-01-17 04:00,84.8765,0.847515,0.831475
390,2025-01-17 05:00,84.7222,0.842925,0.831504
391,2025-01-17 06:00,83.9506,0.833905,0.83151
392,2025-01-17 07:00,100.0,0.846867,0.831549
393,2025-01-17 08:00,100.0,0.88583,0.831687
394,2025-01-17 09:00,100.0,0.955803,0.832002
395,2025-01-17 10:00,100.0,0.98526,0.83239
396,2025-01-17 11:00,100.0,0.995999,0.832804
397,2025-01-17 12:00,100.0,0.999708,0.833224
398,2025-01-17 13:00,100.0,0.998548,0.833639
399,2025-01-17 14:00,100.0,0.999007,0.834054
400,2025-01-17 15:00,100.0,0.983531,0.834428
401,2025-01-17 16:00,100.0,0.974898,0.834778
402,2025-01-17 17:00,94.8302,0.909601,0.834964
403,2025-01-17 18:00,88.5031,0.875311,0.835064
404,2025-01-17 19:00,86.9599,0.861941,0.835131
405,2025-01-17 20:00,85.6481,0.851868,0.835172
406,2025-01-17 21:00,84.7994,0.838831,0.835181
407,2025-01-17 22:00,82.9475,0.829233,0.835166
408,2025-01-17 23:00,82.716,0.819759,0.835129
409,2025-01-18 00:00,81.0185,0.809318,0.835065
410,2025-01-18 01:00,80.8642,0.792255,0.834961
411,2025-01-18 02:00,78.4722,0.776045,0.834818
412,2025-01-18 03:00,76.6975,0.758334,0.834632
413,2025-01-18 04:00,75.5401,0.751402,0.834431
414,2025-01-18 05:00,75.0,0.747164,0.83422
415,2025-01-18 06:00,74.6142,0.744609,0.834004
416,2025-01-18 07:00,100.0,0.77669,0.833866
417,2025-01-18 08:00,100.0,0.904932,0.834036
418,2025-01-18 09:00,100.0,0.97702,0.834379
419,2025-01-18 10:00,100.0,0.997914,0.834769
420,2025-01-18 11:00,100.0,1.0,0.835162
421,2025-01-18 12:00,100.0,1.0,0.835554
422,2025-01-18 13:00,100.0,1.0,0.835943
423,2025-01-18 14:00,100.0,1.0,0.836331
424,2025-01-18 15:00,100.0,1.0,0.836717
425,2025-01-18 16:00,100.0,1.0,0.837102
426,2025-01-18 17:00,100.0,0.996005,0.837475
427,2025-01-18 18:00,97.608,0.969398,0.837783
428,2025-01-18 19:00,96.4506,0.925387,0.837988
429,2025-01-18 20:00,89.8148,0.897256,0.838126
430,2025-01-18 21:00,89.1975,0.877067,0.838217
431,2025-01-18 22:00,87.2685,0.870373,0.838291
432,2025-01-18 23:00,86.8056,0.864024,0.838351
433,2025-01-19 00:00,85.7253,0.851971,0.838383
434,2025-01-19 01:00,84.6451,0.837045,0.838379
435,2025-01-19 02:00,83.0247,0.825607,0.83835
436,2025-01-19 03:00,81.4043,0.811768,0.838289
437,2025-01-19 04:00,81.0185,0.808019,0.83822
438,2025-01-19 05:00,80.5556,0.802709,0.838139
439,2025-01-19 06:00,80.0154,0.795901,0.838043
440,2025-01-19 07:00,100.0,0.795572,0.837946
441,2025-01-19 08:00,100.0,0.861371,0.837999
442,2025-01-19 09:00,100.0,0.891119,0.838119
443,2025-01-19 10:00,100.0,0.953852,0.838381
444,2025-01-19 11:00,100.0,0.975982,0.83869
445,2025-01-19 12:00,100.0,0.986277,0.839022
446,2025-01-19 13:00,100.0,0.993048,0.839367
447,2025-01-19 14:00,100.0,0.993916,0.839713
448,2025-01-19 15:00,100.0,0.98846,0.840045
449,2025-01-19 16:00,100.0,0.936803,0.840261
450,2025-01-19 17:00,87.8086,0.876342,0.840341
451,2025-01-19 18:00,87.1142,0.851952,0.840367
452,2025-01-19 19:00,83.2562,0.829322,0.840342
453,2025-01-19 20:00,82.7932,0.810408,0.840276
454,2025-01-19 21:00,78.3179,0.775325,0.840133
