hour,time,alive_percent,resilience
497,2025-01-21 16:00,98.9969,0.797212
498,2025-01-21 17:00,97.4537,0.797568
499,2025-01-21 18:00,96.0648,0.797895
500,2025-01-21 19:00,93.9043,0.798177
501,2025-01-21 20:00,92.2068,0.798425
502,2025-01-21 21:00,90.7407,0.798642
503,2025-01-21 22:00,87.7315,0.798798
504,2025-01-21 23:00,84.0278,0.798881
505,2025-01-22 00:00,79.5525,0.798874
506,2025-01-22 01:00,75.0,0.798777
507,2025-01-22 02:00,72.7623,0.798637
508,2025-01-22 03:00,69.2901,0.798429
509,2025-01-22 04:00,65.1235,0.79814
510,2025-01-22 05:00,63.1173,0.797812
511,2025-01-22 06:00,61.8827,0.797462
512,2025-01-22 07:00,62.7315,0.79713
513,2025-01-22 08:00,86.4198,0.79726
514,2025-01-22 09:00,97.608,0.797608
515,2025-01-22 10:00,99.6142,0.797994
516,2025-01-22 11:00,99.7685,0.798381
517,2025-01-22 12:00,100.0,0.798771
518,2025-01-22 13:00,99.8457,0.799156
519,2025-01-22 14:00,99.6914,0.799537
520,2025-01-22 15:00,99.6142,0.799915
521,2025-01-22 16:00,98.9969,0.80028
522,2025-01-22 17:00,98.2253,0.800629
523,2025-01-22 18:00,96.9907,0.800952
524,2025-01-22 19:00,94.8302,0.801234
525,2025-01-22 20:00,93.287,0.801484
526,2025-01-22 21:00,92.5154,0.80172
527,2025-01-22 22:00,91.4352,0.801933
528,2025-01-22 23:00,90.2006,0.802123
529,2025-01-23 00:00,89.2747,0.802294
530,2025-01-23 01:00,87.8858,0.802439
531,2025-01-23 02:00,86.1111,0.802549
532,2025-01-23 03:00,84.0278,0.80262
533,2025-01-23 04:00,82.1759,0.802656
534,2025-01-23 05:00,79.5525,0.802643
535,2025-01-23 06:00,76.7747,0.802577
536,2025-01-23 07:00,75.6944,0.802492
537,2025-01-23 08:00,85.3395,0.802587
538,2025-01-23 09:00,95.7562,0.802875
539,2025-01-23 10:00,99.1512,0.803225
540,2025-01-23 11:00,100.0,0.803589
541,2025-01-23 12:00,100.0,0.803952
542,2025-01-23 13:00,100.0,0.804314
543,2025-01-23 14:00,99.8457,0.804672
544,2025-01-23 15:00,99.6142,0.805024
545,2025-01-23 16:00,98.9198,0.805362
546,2025-01-23 17:00,97.9938,0.805681
547,2025-01-23 18:00,96.2963,0.805969
548,2025-01-23 19:00,94.3673,0.80622
549,2025-01-23 20:00,93.287,0.806451
550,2025-01-23 21:00,92.284,0.806662
551,2025-01-23 22:00,91.0494,0.806851
552,2025-01-23 23:00,90.2006,0.807023
553,2025-01-24 00:00,89.5062,0.807182
554,2025-01-24 01:00,88.1944,0.807317
555,2025-01-24 02:00,85.571,0.807405
556,2025-01-24 03:00,83.0247,0.807446
557,2025-01-24 04:00,81.6358,0.807462
558,2025-01-24 05:00,80.0154,0.807449
559,2025-01-24 06:00,77.2377,0.807386
560,2025-01-24 07:00,75.2315,0.807288
561,2025-01-24 08:00,82.6389,0.807322
562,2025-01-24 09:00,94.3673,0.807564
563,2025-01-24 10:00,98.6111,0.807881
564,2025-01-24 11:00,99.6142,0.808215
565,2025-01-24 12:00,99.537,0.808546
566,2025-01-24 13:00,99.4599,0.808875
567,2025-01-24 14:00,99.1512,0.809197
568,2025-01-24 15:00,98.3025,0.809503
569,2025-01-24 16:00,96.9136,0.809784
